Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.001,4.809880842065588,0.12613340185749422,4.249943832774739,0.16503352243424446
2,0.001,3.605628911878022,0.2843507947579017,3.4200610433306013,0.32508165721162113
3,0.001,2.870508506824153,0.4592342425021108,2.7972383302646677,0.4722365480488224
4,0.001,2.458063588455809,0.5684079145405823,2.4345131804654887,0.5863847343991748
5,0.001,2.1822010561334135,0.6539040417018465,2.352035015493959,0.5999656180161596
6,0.001,1.9942528748176467,0.7095554495062589,2.1321919010235715,0.664775657555441
7,0.001,1.8634596844794045,0.7486142212106751,2.1267379568173337,0.6596183599793708
8,0.001,1.7595488837627178,0.7780918468485004,1.9819553337254368,0.7134261646897025
9,0.001,1.6832341809227993,0.8006681105686282,1.9615991587167259,0.7184115523465704
10,0.001,1.6202441560270642,0.819903821445615,1.9125174487030112,0.7402441120852673
11,0.001,1.5683893566959901,0.8351015014133109,1.970958343573979,0.7144576242049167
12,0.001,1.5172070102512556,0.848280165926361,1.879589177094973,0.7510744369950146
13,0.001,1.4769475627952897,0.8648360926544547,1.9036001825070643,0.738009283135637
14,0.001,1.4396487384894645,0.8759957417128593,1.8547852674683372,0.7505587072374076
15,0.001,1.4068992504491493,0.8848059909694945,1.8429615844737042,0.7617328519855595
16,0.001,1.3795143922729671,0.8946808120113064,1.8458117423476754,0.7589822932783221
17,0.001,1.3549809693730492,0.904188539334092,1.878190381186349,0.752277806429431
18,0.001,1.3354064021871683,0.9081164421276752,1.8225270221521566,0.7711878975416881
19,0.001,1.310783219169563,0.9171836569876289,1.7822901462460612,0.776173285198556
20,0.001,1.291299514647381,0.9234976689548842,1.8181936642625829,0.7749699157641395
21,0.001,1.282797250669327,0.9254799750376271,1.7840647612299239,0.7852845109162798
22,0.001,1.2630113945320738,0.9326015931867406,1.8172615150828937,0.7749699157641395
23,0.001,1.2540154392730463,0.9340699680628465,1.7653258266029777,0.7847687811586729
24,0.001,1.2428066288361528,0.9379244521126243,1.8230719088198064,0.7718755372184976
25,0.001,1.2312024210540342,0.9415586799309864,1.792568747158889,0.7768609248753653
26,0.001,1.2197518788033248,0.9444954296831981,1.7612121078994247,0.7943957366340038
27,0.001,1.2161999213303758,0.9463676076502331,1.8890807386283035,0.7517620766718239
28,0.001,1.197017916491334,0.9521309790389486,1.7797767696799813,0.7835654117242565
29,0.001,1.1942235410493305,0.9534892257993466,1.8114074855060367,0.7830496819666495
30,0.001,1.1942494813825044,0.9529752945927095,1.8086449182950532,0.7796114835826027
31,0.0005,1.1746776031216546,0.9579677691714695,1.8097441392940479,0.7832215918858518
32,0.0005,1.0927853816551782,0.9839212951066407,1.665289974474645,0.8170878459687124
33,0.0005,1.0659238035690057,0.9886935134539848,1.6572010359921299,0.8229327832215919
34,0.0005,1.0525629109060262,0.9924745787599574,1.6325838657525868,0.825511432009627
35,0.0005,1.0458762852798604,0.9944568848427003,1.6649588641229567,0.8193226749183428
36,0.0005,1.0421435360057814,0.9939062442641606,1.663616501368009,0.8155406566958914
37,0.0005,1.039924037288612,0.9940163723798686,1.685374847480229,0.8136496475846656
38,0.0005,1.0344102754839148,0.995631584743585,1.6483472729777242,0.8251676121712223
39,0.00025,1.033374723134466,0.9954847472559745,1.6502074763015075,0.8248237923328176
40,0.00025,1.012746596560232,0.9982746595205756,1.590495683989682,0.8399518652226233
41,0.00025,1.004645498705582,0.9990088469586286,1.5829778457735921,0.8435619735258725
42,0.00025,1.0017521381378174,0.9992291031900444,1.5891935360300673,0.839779955303421
43,0.00025,0.9998082056851454,0.999375940677655,1.5868337193688193,0.8389204057074093
