Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.001,5.268202088542821,0.07050272562083586,4.558716773986816,0.1340518056343354
2,0.001,3.866460592476363,0.28604885927720575,3.701534555071876,0.3216108905275099
3,0.001,3.1124656347884345,0.48059761760549163,2.9974894523620605,0.5161656267725468
4,0.001,2.6642052414491006,0.6,2.802667952719189,0.5596521081489885
5,0.001,2.3839749355906066,0.6776095295780336,2.6010815359297252,0.6091888825865003
6,0.001,2.1926826029708706,0.7306279022814456,2.433316293216887,0.6515409340139913
7,0.001,2.0485841865392076,0.7657177468201091,2.2873439959117343,0.6918131972017395
8,0.001,1.9438885456507968,0.7908742176458712,2.1762931517192294,0.7150690111552278
9,0.001,1.8596762578511976,0.8128810821724207,2.19186323313486,0.7056154282473057
10,0.001,1.7851044566360945,0.833313143549364,2.096328091053736,0.7341652486292305
11,0.001,1.7250580388246124,0.8471633353523117,2.0242818480446223,0.7615806390622045
12,0.001,1.6717474896883227,0.8623864324651727,1.9793819643202282,0.7649839289090565
13,0.001,1.6304377667682688,0.8722390470421967,2.026799105462574,0.7553412743429759
14,0.001,1.588489835409774,0.8816474863718958,1.941689914181119,0.7804878048780488
15,0.001,1.5591262179551666,0.8900060569351907,1.8980544691994077,0.7910758177349215
16,0.001,1.5219282262104075,0.9012719563900666,1.8857539636748177,0.7923993193420307
17,0.001,1.4919817736468364,0.9081364829396326,1.8851386649268014,0.7937228209491397
18,0.001,1.4663398493196547,0.9131435493640218,1.9241386027563185,0.7812440915106825
19,0.001,1.4413415592970307,0.9202907328891581,1.8619017203648884,0.7920211760257138
20,0.001,1.4173030201921757,0.9311528366646477,1.8891499780473255,0.7952353942144073
21,0.001,1.3951825063253187,0.9345043408035534,1.8565211352847872,0.8010966156173189
22,0.001,1.37466911925483,0.9397536846355744,1.8373212161518278,0.810550198525241
23,0.001,1.358117163181305,0.9439935392691298,1.8023234492256528,0.8201928530913216
24,0.001,1.3370747375734073,0.9508580658186957,1.8308424949645996,0.8077141236528644
25,0.001,1.3231744078016772,0.9536442560064607,1.8131958302997409,0.8099829835507657
26,0.001,1.3092645640225755,0.9586109428629114,1.789838106859298,0.8150879183210437
27,0.001,1.295134771116001,0.9607510599636584,1.8171156360989524,0.8073359803365475
28,0.001,1.2807631295980866,0.9636987684231779,1.7970734408923559,0.8167895632444696
29,0.001,1.270430827878185,0.968503937007874,1.8190350901512873,0.817356778218945
30,0.001,1.2628828711116438,0.9690288713910761,1.7760640467916216,0.8209491397239553
31,0.001,1.2431155701273495,0.9745204926307288,1.7973943891979398,0.8162223482699943
32,0.001,1.2338533966811662,0.9749646678780537,1.7816253077416193,0.8207600680657969
33,0.001,1.225245729549644,0.9777104784978801,1.7582377876554216,0.8252977878615996
34,0.001,1.216960984407012,0.9799313547345043,1.7871403921218145,0.8230289279636982
35,0.001,1.2082409870993231,0.9820714718352513,1.7802511254946392,0.8251087162034411
36,0.001,1.199245655045067,0.9822733696749445,1.780047425201961,0.8196256381168463
37,0.001,1.192490173369339,0.9844134867756915,1.7622308504013788,0.8235961429381735
38,0.001,1.1832454155400856,0.9860286694932364,1.745337548710051,0.8300245793155606
39,0.001,1.172417071062265,0.9901877649909145,1.7636778155962627,0.8294573643410853
40,0.001,1.167715072631836,0.9894609327680194,1.8214819119090127,0.8179239931934204
41,0.001,1.1591102573060499,0.9907934585099939,1.7265141833396185,0.8398563055397996
42,0.001,1.1534377914114096,0.9920048455481526,1.7663120599020095,0.8313480809226697
43,0.001,1.1481755701536984,0.9925701594992934,1.7431963000978743,0.8294573643410853
