Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.001,4.997137148055672,0.11178003744355934,4.5299794622089555,0.1308234485129792
2,0.001,3.870342411345719,0.23093865863955068,3.6644800564517146,0.25236376138903216
3,0.001,3.1769871409510224,0.36841525641496276,3.0547888745432314,0.37871755200275053
4,0.001,2.7945915186349217,0.4556367240556514,2.9774796418521716,0.3938456248925563
5,0.001,2.547252913595925,0.5206857310671414,2.6938763986463132,0.4803163142513323
6,0.001,2.3524312648415004,0.5820638008883668,2.4364496171474457,0.544266804194602
7,0.001,2.1776945943563755,0.6321720935354797,2.3763733635778013,0.5542375795083376
8,0.001,2.0445195039113364,0.6733232994383466,2.222730567921763,0.6114835826027162
9,0.001,1.9183369511170008,0.7124921992584707,2.1621511669262596,0.6360667010486505
10,0.001,1.8177633973914133,0.7428141404500569,2.154091908879902,0.6298779439573663
11,0.001,1.7133218307450344,0.777614625013766,1.9992415231207143,0.6807632800412584
12,0.001,1.6404624405041548,0.8004478543372123,1.9311139026413793,0.7056902183255974
13,0.001,1.5690451412693436,0.8192430527513674,1.9058067124822866,0.7178958225889633
14,0.001,1.5190455297908874,0.8381116699093278,1.9231601538865462,0.7106756059824652
15,0.001,1.4703087957812027,0.8543372122902977,1.9048791268597478,0.7168643630737493
16,0.001,1.4289586510456784,0.8685070298447194,1.8301738098911617,0.7433384906309094
17,0.001,1.392635444520225,0.8785286883741419,1.8189803659915924,0.7505587072374076
18,0.001,1.35081526091401,0.8953048713336514,1.7676530324894448,0.7601856627127386
19,0.001,1.3172641158663612,0.9056202048382952,1.7291490189407184,0.7732508165721163
20,0.001,1.2836415532609107,0.9150912227891781,1.739013460667237,0.7715317173800929
21,0.001,1.2607983597007715,0.9233508314672736,1.8006366672723189,0.7539969056214544
22,0.001,1.2385394394117901,0.9299952277816527,1.710355351800504,0.7849406910778752
23,0.001,1.2119996810742948,0.940971329980544,1.7804013348144034,0.764483410692797
24,0.001,1.1934721167658415,0.9465511545097464,1.7386445856612662,0.7729069967337115
25,0.001,1.1775262428561286,0.9517638853199222,1.696237299753272,0.7926766374419804
26,0.001,1.1654840954032861,0.9548474725597444,1.724522880885912,0.7823620422898401
27,0.001,1.1506500708665086,0.9609779376674865,1.7303028573160586,0.7835654117242565
28,0.001,1.130733549874713,0.9682096839323079,1.7360822001229161,0.7821901323706378
29,0.001,1.1189508902634813,0.9713666899159356,1.7282111243061398,0.7854564208354822
30,0.0005,1.1118922009714332,0.973605961601997,1.7260862938735797,0.7923328176035758
31,0.0005,1.054908122814877,0.9894644102639404,1.6288092887919883,0.8167440261303077
32,0.0005,1.026470144030074,0.9951543629088506,1.6334884814594104,0.8157125666150937
33,0.0005,1.0119554031063134,0.9975771814544253,1.6334560111812924,0.8203541344335569
34,0.0005,1.008338341690565,0.997613890826328,1.6418329438437587,0.8194945848375451
35,0.0005,1.002214679415797,0.9978341470577439,1.6352997785029204,0.8253395220904246
36,0.00025,1.000003241037539,0.998017693917257,1.6448454740254774,0.8212136840295685
37,0.00025,0.9913080969886601,0.9993392313057523,1.633584200040154,0.8251676121712223
38,0.00025,0.9862795950661243,0.9998164531404867,1.6327401023844015,0.8258552518480317
39,0.00025,0.9838540173472373,0.9997430343966814,1.636352671229321,0.8291215403128761
40,0.00025,0.9826605087714576,0.9997063250247789,1.638339542824289,0.8282619907168643
41,0.000125,0.9802209636974782,0.9999265812561947,1.639494222143422,0.826027161767234
42,0.000125,0.9783190665110736,0.9999265812561947,1.6343972916188447,0.8291215403128761
43,0.000125,0.9770089150034765,0.999889871884292,1.6408040627189304,0.8284339006360667
44,0.000125,0.9772841561008507,0.9998164531404867,1.6383347640866819,0.8294653601512807
45,0.000125,0.9756968964433446,0.999889871884292,1.6440460409807123,0.8287777204744714
46,6.25e-05,0.9751447517547249,0.999889871884292,1.642851683108703,0.828090080797662
47,6.25e-05,0.9736469164140907,0.9998531625123894,1.6413240704847418,0.8301529998280901
48,6.25e-05,0.9735779706301264,0.9998164531404867,1.642975978229357,0.8294653601512807
49,6.25e-05,0.9729099962073313,0.9999265812561947,1.6437682651955148,0.8292934502320783
50,6.25e-05,0.9724231891229119,0.9998531625123894,1.6472537945146146,0.8299810899088877
51,3.125e-05,0.9720526858114861,0.999889871884292,1.6451015718605206,0.8299810899088877
52,3.125e-05,0.9716747607423666,0.9999632906280973,1.6458949407805568,0.829637270070483
53,3.125e-05,0.9712551395658037,0.9999632906280973,1.6479413379793582,0.8303249097472925
54,3.125e-05,0.9710426453693372,0.9999632906280973,1.6490688012993855,0.8298091799896854
55,3.125e-05,0.9706423747147752,0.9999632906280973,1.6502654915270598,0.830668729585697
56,1.5625e-05,0.970620785240836,0.999889871884292,1.649961284969164,0.830668729585697
57,1.5625e-05,0.9701125031345886,0.9999632906280973,1.652203610409861,0.8304968196664948
